9,0.66,フィリア,ギター部,企画URL
9.92,0.33,フィリア,Toplit,
10.58,0.33,フィリア,Gathering Beats,
11.25,0.33,フィリア,NOVABEAT,
11.8,0.5,フィリア,Changers,
12.58,0.5,フィリア,Stella,
13.33,0.5,フィリア,3-strings,
14.08,0.5,フィリア,ckky,
14.8,0.66,フィリア,Cotton Club,
9,0.75,体育館,バレーボール部,
10.5,1,体育館,バトンチア部,
11.66,0.66,体育館,Amulet,
12.5,0.5,体育館,Fleur,
13.16,0.5,体育館,JOYFUL,
14.5,1,体育館,吹奏楽部,
9,0.33,プラザホール,アーシラ青春謳歌中‼️,
9.5,0.66,プラザホール,dipper,
12.33,0.66,プラザホール,aegis,
13.25,0.75,プラザホール,5年E組,
14.5,1,プラザホール,演劇部,
9.16,0.25,吹き抜け,DJ FALL,
9.66,0.66,吹き抜け,桜＊花,
10.58,0.75,吹き抜け,ギター部～Acoustic～,
11.58,0.75,吹き抜け,ハンドベル部,
12.58,0.5,吹き抜け,いちごミルク,
13.25,0.25,吹き抜け,Resonate On The Hill,
13.75,0.25,吹き抜け,探究①,
14.08,0.25,吹き抜け,探究②,
14.41,0.25,吹き抜け,探究③,
14.75,0.25,吹き抜け,探究④,